nazwa;podmiot;bazyl;kod_kreskowy;klasyfikacja
METHOTREXAT;PLIVA-LACHEMA;005726;05909990124428;L01BA
LI∂∆ MI TY PIEPRZOWEJ;PHYTOPHARM DOBRZYCA;005852;05909990052127;A16AX
POLGENTEC;NARODOWE CENTRUM BADA— J•DROWYCH;006051;05909990179114;V09FX
NEXODAL;ORPHA-DEVEL;006073;05909990935833;V03AB
PHYTOPHARM NERWOVIT;PHYTOPHARM DOBRZYCA;006297;05909990785612;N05CX
NERWOVIT;PHYTOPHARM DOBRZYCA;006300;05909990209026;N05CX
NITRENDYPINA EGIS;EGIS;006389;05909990694754;C08CA
NALPAIN 10 MG/ML;ORPHA-DEVEL;006511;05909990639410;N02AF
NUX VOMICA COMPOSE;BOIRON;006516;05909996378313;V03AX
ADALAT RETARD;BAYER;000156;05909990255115;C08CA
ASCORVITA;NATUR PRODUKT PHARMA;000171;05909990688128;A11GA
ALLIOFIL;HERBAPOL POZNA—;000330;05909990006212;R02AA
AZLOCILLIN;ANTIBIOTIC;001012;05909990286812;J01CA
BIODACYNA OPHTHALMICUM 0,3%;POLFA WARSZAWA;001264;05909990129317;S01AA
BORAKS;PHARMA-COSMETIC;001390;05909991195403;A01AB
BUTAPIRAZOL;POLFA WARSZAWA;001495;05909990103720;M01BX
BERINERT 1500;CSL BEHRING;001497;05909991213053;B06AC
CALCIUM EFFERVESCENS;SYNTEZA;001521;05909990269129;A12AA
CARDONIT PROLONGATUM 40;POLFA WARSZAWA;001623;05909990182619;C01DA
ZIELNIK DOZ RUMIANEK;DOZ;001711;05900396023025;A03AX
CHLOREK MIEDZI 64CUCL2;NARODOWE CENTRUM BADA— J•DROWYCH;001760;05909990343812;V09XX
CHROMIAN SODU 51CR NA2CRO4 DO WSTRZYKIWA—;NARODOWE CENTRUM BADA— J•DROWYCH;001818;05909990326310;V09XX
DITRANOL;PHARMA-COSMETIC;001825;05909990766307;D05AC
CINNARIZINUM WZF;POLFA WARSZAWA;001849;05909990092215;N07CA
CIPROBAY;BAYER;001858;05909990090112;J01MA
CIPROBAY 250;BAYER;001860;05909990089918;J01MA
CIPROBAY 250;BAYER;001861;05909990089925;J01MA
KOFEINA;PHARMA-COSMETIC;001967;05909990894420;N06BC
KWAS SALICYLOWY;PHARMA-COSMETIC;000075;05909990728640;D02AF
UMAN ALBUMIN 20% KEDRION;KEDRION;000271;05909990569373;B05AA
ALERGOFTAL;ALCON CUSI;000306;05909990258819;S01GA
AMBROXOL-RATIOPHARM 15;RATIOPHARM;000399;05909990083718;R05CB
ANDROCUR;BAYER;000587;05909990657476;G03HA
BERIATE;CSL BEHRING;000626;05909991213695;B02BD
OWOC ANYØU;PHYTOPHARM DOBRZYCA;000673;05900175447202;R05CA
NIPAGINA M;PHARMA-COSMETIC;000897;05909991139933;V07AZ
ASPIRIN C;BAYER;000923;05909990192816;N02BA
ASTMOPENT;POLFA WARSZAWA;000942;05909990364213;R03CB
BELODERM;BELUPO;001118;05909991134020;D07AC
BETADRIN WZF;POLFA WARSZAWA;001202;05909990181810;R01AB
BISEPTOL 480;POLFA WARSZAWA;001325;05909990108619;J01EE
BLOCALCIN 90 RETARD;PLIVA-LACHEMA;001367;05909990123216;C08DB
BRULAMYCIN;BIOGAL;001455;05909990302628;J01GB
CARDONIT PROLONGATUM 60;POLFA WARSZAWA;001624;05909990182718;C01DA
CEPHALEXIN;ANTIBIOTIC;001681;05909990051519;J01DB
CHINIDINUM PROLONGATUM;POLFA WARSZAWA;001737;05909990092123;C01BA
CHLORPROTHIXEN ZENTIVA;ZENTIVA;001780;05909990203116;N05AF
CUSI CHLORAMPHENICOL 1%;ALCON CUSI;006547;05909990188116;S01AA
PERITOL;EGIS;007071;05909990156917;R06AX
PLATAMINE;PHARMACIA;007215;05909990156214;L01XA
LI∂∆ POKRZYWY;PHYTOPHARM DOBRZYCA;007306;05909990483624;C03BX
PROVIRON-25;BAYER;007663;05909990634675;G03BB
KOSZYCZEK RUMIANKU;PHYTOPHARM DOBRZYCA;008089;05900175447288;A03AX
KOSZYCZEK RUMIANKU PHYTOPHARM;PHYTOPHARM DOBRZYCA;008090;05909990051960;A03AX
SALVI CAL. E-G 24;CLINTEC;008198;05909990262236;B05XX
SIGNIFOR;NOVARTIS EUROPHARM;008222;05909991345556;H01CB
SECUROPEN;BAYER;008308;05909990065813;J01CA
STREPTASE 250000;CSL BEHRING;008708;05909990024919;B01AD
SULFANIZOLON;POLFA WARSZAWA;008769;05909990093816;S01CA
TARDYFERON;PIERRE FABRE;008983;05909990325818;B03AE
TENSIOMIN;EGIS;009026;05909990157112;C09AA
THEOPLUS;PIERRE FABRE;009092;05909990173815;R03DA
CECLOR;TEVA;001651;05909990137411;J01DC
CECLOR;TEVA;001655;05909990070114;J01DC
DAUNOMICINA;DEVA;001696;08699525790576;L01DB
KEMICETINE;DEVA;001771;08699525797308;J01BA
CONDYLINE;ASTELLAS;002034;05909990299515;D06BB
CONVULEX 300;G.L. PHARMA;002051;05909990244416;N03AG
CZOPKI GLICEROLOWE;FARMINA;002179;05909990673605;A06AX
DETREOMYCYNA;TEVA KRAK”W;002393;05900160200164;J01BA
DIAPREL MR;SERVIER;002441;05909990774746;A10BB
DIENOESTROLUM;JELFA;002479;05904398211015;G03CB
DIPROPHYLLINUM;TEVA KRAK”W;002545;05909990378913;R03DA
DIPROPHYLLINUM PROLONGATUM;TEVA KRAK”W;002552;05909990378616;R03DA
ATRIUM D3;INTERNIS;002696;05909991349493;A11CC
DUOMOX;ASTELLAS;002735;05909990063314;J01CA
DUOMOX;ASTELLAS;002737;05909990063413;J01CA
TADIS;TEVA;002803;05909991339852;G04BE
BEAUTY&YOUTHFORTE A+E;STARPHARMA;000002;05900652819614;A11JA
ABAKTAL;LEK;000010;05909990066919;J01MA
LERCAN;RECORDATI;000153;05391519921098;C08CA
ALTRAMET;LEK;000371;05909990220915;A02BA
AMOXICILLINE PRO SUSPENSIONE 3 G;TEVA KRAK”W;000485;05909990057610;J01CA
ANAPRAN;POLFA PABIANICE;000560;05909990132218;M01AE
APHTIN;PROLAB;000691;05909990159833;A01AB
FLUSTAD;STADA;000756;05909991260361;M01AE
AMOXICILLIN/CLAVULANIC ACID KABI 1000 MG + 200 MG;FRESENIUS KABI;000970;05909991141530;J01CR
BEMECOR;LEK;001127;05909990174515;C01AA
BENALGIN;POLFA PABIANICE;001133;05909990132317;M01AX
BIVACYN;LEK;001342;05909990226610;S01AA
CARDIAMID-COFFEIN;POLFA PABIANICE;001608;05909990300815;R07AB
CHOLESOL;HERBAPOL WROC£AW;001812;05909990008612;A05BA
CZOPKI GLICEROLOWE;FARMINA;002182;05909990674039;A06AX
DE-NOL;ASTELLAS;002250;05909990224319;A02BX
DERNILAN;HERBAPOL WROC£AW;002361;05909990256419;D04AX
DETRALEX;SERVIER;002385;05909990163311;C05CA
DIPROPHYLLINUM PLIVA;TEVA KRAK”W;002551;05909990379019;R03DA
DISSENTEN;SPA;002563;05909990020713;A07DA
ATRIUM D3;INTERNIS;002695;05909991349523;A11CC
DUPHALAC FRUIT;MYLAN;002740;05909990750665;A06AD
ELENIUM;INPHARM/POLFA TARCHOMIN;002857;05909991333423;N05BA
FLEGAMINA O SMAKU MALINOWYM;TEVA;003289;05909990882069;R05CB
GENCJANA 2% ROZTW”R WODNY;AUGMED;003589;05909990255719;D08AX
GENTAMICIN B. BRAUN;BRAUN;003611;05909990767175;J01GB
GLUCOSE 70 BRAUN;BRAUN;003685;05909990247813;B05BA
HEPATIL;TEVA;003957;05900160160048;A05BA
HERBATA OWOCOWA HIBISKUS;HERBAPOL WROC£AW;004024;05906014210204;V06DX
HYDROCORTISONUM HEMISUCCINATUM;JELFA;004197;05909990105311;H02AB
GLUCOSUM TEVA;TEVA;004318;05909990297917;B05BA
DOXAZOSIN AUROVITAS;AUROVITAS;004488;05909991305345;C02CA
ISONIAZIDUM JELFA;JELFA;004517;05909990071517;J04AC
PLUSSSZ ZIZZZ MULTIWITAMINA;POLSKI LEK;004679;05902891179238;A11BA
KOSZYCZEK RUMIANKU;HERBAPOL WROC£AW;004829;05909994307872;A03AX
KWIATOSTAN LIPY;HERBAPOL WROC£AW;004944;05909994308022;N02BG
LAMISILATT;INPHARM/GLAXOSMITHKLINE;005000;05909997014135;D01AE
ABDOMILON;CESRA;000016;05909990014415;A16AX
ADAVIN;LEK;000158;05909990174324;C04AE
AMINOPHYLLINUM;LEK;000432;05909990174119;R03DA
TRAMADOL SYNTEZA;SYNTEZA;009266;05909990294718;N02AX
TRIAMTEREN;INSTYTUT FARMACEUTYCZNY;009326;05909990111312;C03DB
TRIQUILAR;BAYER;009355;05909990222728;G03AB
AMINOPHYLLINUM;TEVA KRAK”W;000435;05909990113316;R03DA
AMINOSTERIL KE 10% - BEZ W GLOWODAN”W, Z ELEKTROLITAMI;FRESENIUS KABI;000458;05909990671618;B05BA
AMITRIPTYLINUM 2,5%;TEVA KRAK”W;000466;05909990113118;N06AA
ANAFRANIL;TEVA;000528;05909990295012;N06AA
ANTI-URON;TEVA KRAK”W;000617;05909990113514;V03AF
CONVIVAL CHRONO;G.L. PHARMA;000695;05909990930142;N03AG
VITAMINUM B12 WZF;POLFA WARSZAWA;009850;05909990243914;B03BA
TRESIBA PENFILL;NOVO NORDISK;000141;05909991107833;A10AE
ACTRAPID HM PENFILL;NOVO NORDISK;000144;05909990237913;A10AB
APITUSSIC;TEVA KRAK”W;000711;05909990011827;R05CA
AMOXICILLIN/CLAVULANIC ACID KABI 1000 MG + 200 MG;FRESENIUS KABI;000968;05909991141509;J01CR
AZULAN;HERBAPOL WROC£AW;001021;05909990007929;D03AX
AQUAFRESH FRESH 'N' MINTY;GLAXOSMITHKLINE;000830;05000199051000;A01AA
ASCALCIN;LABORATORIA POLFA £”DZ;000886;05909990258024;N02BA
AUGMENTIN 500 MG + 125 MG;GLAXOSMITHKLINE;000974;05909990368235;J01CR
OCTAGAM 10%;OCTAPHARMA;001245;05909990763863;J06BA
ADEKMED;CALLION;001308;00358914214601;A11AA
IWONICZANKA - IWONICKA KOSTKA BOROWINOWA;UZDROWISKO IWONICZ;001392;05909990287512;D11AX
BRONCHICUM N;SANOFI-AVENTIS;001440;05909990789412;R05CA
BIOPAROX;SERVIER;001287;05909990291113;R02AB
BISEPTOL 120;POLFA PABIANICE;001324;05909990117512;J01EE
FLEGAMINA O SMAKU MI TOWYM BEZ CUKRU;TEVA;001336;05909990881987;R05CB
BIVACYN;LEK;001343;05909990226511;S01AA
BRAUNOL;BRAUN;001399;05909990852758;D08AG
CALCIUM PLIVA KRAK”W;TEVA;001540;05900160500073;A12AA
CALENDULIN;HERBAPOL WROC£AW;001554;05909990008315;G01AX
LARGAL-ULTRA;SEPTODONT;005021;05909990134014;A01AA
LECITAN MAX;TEVA KRAK”W;005044;05900160190052;A13A
LEKOPTIN;LEK;005068;05909990174911;C08DA
LIPOFUNDIN MCT/LCT 10%;BRAUN;005197;05909990247936;B05BA
LI∂∆ POKRZYWY;HERBAPOL WROC£AW;005284;05909994015258;C03BX
FENOBARBITAL SODOWY-GALENUS;GALENUS;005413;05909990676293;N03AA
LYMPHOZIL;CESRA;005422;05909990014514;V03AX
MARIGOLD GEL;ALPINE HERBS;005542;05909990068814;D03AX
MARMOT OINTMENT;ALPINE HERBS;005546;05909990230013;M02AX
MA∂∆ PRZECIW ODCISKOM;FARMINA;005581;05909990330119;D11AF
NAPROXEN;POLFA PABIANICE;006081;05909990133116;M01AE
NEOCARDINA;HERBAPOL WROC£AW;006261;05909990022113;C01EX
NEUROTOP RETARD 600;G.L. PHARMA;006324;05909990244614;N03AF
NORETHISTERON;JELFA;006468;05909990107223;G03DC
OMNIPAQUE 350;GE HEALTHCARE;006616;05909990289059;V08AB
OMNIPAQUE 300;GE HEALTHCARE;006620;05909990287093;V08AB
KORZE— KOBYLAKA HERBATKA EKOLOGICZNA BIO;DARY NATURY;006793;05902741004659;A16AX
PABIALGIN;POLFA PABIANICE;006848;05909990171125;N02BB
PANZYTRAT 20000;ABBOTT;006906;05909990253227;A09AA
PARACETAMOL;FARMINA;006918;05909990265619;N02BE
PHOSPHO LAXATIVE;R&C;007138;05909990036318;A06AD
VIZIBIM;PHARMASWISS;007154;05909991310769;S01EE
PIROXICAM JELFA;PHARMASWISS;007203;05909990105717;M01AC
P£YN NA ODCISKI AFLOFARM;AFLOFARM;007271;05909994315211;D11AF
POLSEPTOL;GLAXOSMITHKLINE, POZNA—;007405;05909990149315;G01AX
POLSEPTOL;GLAXOSMITHKLINE, POZNA—;007406;05909990257614;D08AG
PREGNYL;ORGANON;007462;05909990158218;G03GA
PROACID;ZIO£OLEK;007510;05909990193318;A02AD
PROPYPHENAZONUM 300;GLAXOSMITHKLINE, POZNA—;007594;05909990298518;N02BB
RUDIVAX SZCZEPIONKA PRZECIW R”ØYCZCE;SANOFI PASTEUR;008078;05909990002726;J07BJ
RUTINOSCORBIN;GLAXOSMITHKLINE, POZNA—;008094;05909990149742;R05X
SEBAMED F+S - KREM;SEBAPHARMA;008284;04103040121554;V07AT
NASIENIE LNU;AFLOFARM;008389;05909994347526;A02X
NASIENIE LNU;AFLOFARM;008390;05909994347533;A02X
TOLARGIN;GLAXOSMITHKLINE, POZNA—;009234;05909990150014;N02BB
TRIMLINE;LANES;009342;05909990201730;A08AB
VITAMINUM A+D3;GLAXOSMITHKLINE, POZNA—;009833;05909990143610;A11CB
VITAMINUM E;GLAXOSMITHKLINE, POZNA—;009879;05909990151011;A11HA
PARACETAMOL;FARMINA;006920;05909990265718;N02BE
ACECOR;SPA;000053;05909990666515;C07AB
AESCIN;TEVA;000190;05909990335558;C05CX
AKINETON;DESMA;000229;05909990193219;N04AA
AMINOSTERIL N-HEPA 8%;FRESENIUS KABI;000461;05909990226719;B05BA
AMOXICILLINE PRO SUSPENSIONE 1,5 G;TEVA KRAK”W;000484;05909990057511;J01CA
AGAPURIN 600 RETARD;ZENTIVA;000217;05909990165018;C04AD
ANTICOL;POLFA WARSZAWA;000619;05909990218639;N07BB
BERIATE;CSL BEHRING;000625;05909991213640;B02BD
TIGECYCLINE TEVA;TEVA;000502;05909991340001;J01AA
ANAPRAN;POLFA PABIANICE;000558;05909990132119;M01AE
UCHOLEK FORTE;PROLAB;000652;05906448071761;S02DC
ASPAFAR FARMAPOL;FARMAPOL;000908;05909990262816;A12CX
ASPIRIN;BAYER;000921;05909990192625;N02BA
ASTEMIZOL;POLFA WARSZAWA;000933;05909990037810;R06AX
APHTIN;AUGMED;000690;05909990053612;A01AB
APITUSSIC;TEVA KRAK”W;000712;05909990011810;R05CA
ARNICA GEL;ALPINE HERBS;000849;05909990068418;M02AX
AWIROL;INSTYTUT FARMACEUTYCZNY;000988;05909990062232;D06BB
AZLOCILLIN;ANTIBIOTIC;001011;05909990286713;J01CA
BELODERM;BELUPO;001120;05909991134129;D07AC
GANCICLOVIR MYLAN;MYLAN;000990;05909991367299;J05AB
RIXUBIS;BAXALTA INNOVATIONS;001089;05909991210106;B02BD
BETADINE;PHARMAVITAE/EGIS;001196;05909997211138;D08AG
BETADINE;LABORATORIUM GALENOWE OLSZTYN/EGIS;001197;05909991300777;D08AG
BONEFOS;BAYER;001380;05909990029914;M05BA
BUSCOPAN;DELFARMA/IPSEN;001487;05909997076041;A03BB
BUTAPIRAZOL;POLFA WARSZAWA;001492;05909990276813;M01AA
FORLAX 10 G;LABORATORIUM GALENOWE OLSZTYN/IPSEN;001596;05909991353032;A06AD
CARDIONERVIT;PHYTOPHARM DOBRZYCA;001618;05909990480227;N05CX
CONTRACTUBEX;MERZ;002048;05909990306527;D11AX
CORDARONE;SANOFI-AVENTIS;002060;05909990163717;C01BD
CYTOTEC;PFIZER;002166;05909990271627;A02BB
DEMEZON;SUN-FARM;002399;05909991187347;H02AB
DIABETINA;HB-FLOS HEALTH & BEAUTY;002421;05909990194414;A10BX
FLORADIX OCHRONA JELIT;SALUS-HAUS;002491;04004148017018;A16AX
MIESZANKI APTECZNE DIGESTOSAN;HERBAPOL LUBLIN;002493;05909990009312;A16AX
DOLARGAN;CHINOIN;002610;05909990352210;N02AB
PHENYLEPHRINE UNIMEDIC;UNIMEDIC;002645;05909991303402;C01CA
PHENYLEPHRINE UNIMEDIC;UNIMEDIC;002653;05909991349899;C01CA
PHENYLEPHRINE UNIMEDIC;UNIMEDIC;002654;05909991303464;C01CA
AESCIN;INPHARM/TEVA;002687;05909991229559;C05CX
EZOLETA;KRKA;002871;05909991311452;C10AX
EZOLETA;KRKA;002873;05909991311490;C10AX
EMLA;ASTRAZENECA;002885;05909990373321;N01BB
ENAP;KRKA;002908;05909990209811;C09AA
ENGERIX-B;GLAXOSMITHKLINE;002943;05909990056514;J07BC
ENZAPROST F 5;CHINOIN;002952;05909990160518;G02AD
ESSENTIALE MAX;SANOFI-AVENTIS;003020;05909991034481;A05BA
FARMORUBICIN R.D.;PFIZER;003129;05909990236015;L01DB
FELDENE;PFIZER;003136;05909990161928;M01AC
CORNEREGEL;BLAU FARMA/MANN;002085;05909997077031;S01XA
LEVOFLOXACIN UNIMED PHARMA;UNIMED;002190;05909991334338;S01AE
GYNO-PEVARYL DEPOT;JANSSEN-CILAG;003818;05909990128518;G01AF
CLEXANE;AVENTIS PHARMA;001898;05909990048410;B01AB
CLOTRIMAZOL;GEDEON RICHTER POLSKA;001940;05909990363810;G01AF
GENTAMYTREX;MANN;003621;05909990667710;S01AA
XYLODONT 2% Z ADRENALIN• 1:50000;MOLTENI;010046;05909990220519;N01BB
KROPLE ØO£•DKOWE;HERBAPOL KRAK”W;004868;05909990335411;A16AX
KROPLE ØO£•DKOWE T;HERBAPOL KRAK”W;004871;05909990014217;A16AX
DENTINOX N;DENTINOX;002299;05909990094110;A01AD
LOCACID;INPHARM/PIERRE FABRE;003056;05909997215853;D10AD
INNOFER;SMART PHARMA;003192;05905279383005;B03AA
CENTRUM,JR. +EXTRA CALCIUM;LEDERLE;001679;05909990281220;A11AA
CHINIDINUM PROLONGATUM;POLFA WARSZAWA;001738;05909990092116;C01BA
FENTANYL WZF;POLFA WARSZAWA;003183;05909990103911;N02AB
TINCTURA HUMULI LUPULI;PHYTOPHARM KL KA;004109;05909991245849;N05CX
IRS-19;SOLVAY;004224;05909990052912;J07AX
INJECTIO GLUCOSI ISOTONICA ET NATRII CHLORATI ISOTONICA 2:1;BAXTER MANUFACTURING;004346;05909990222810;B05BB
PENTAGLOBIN;BIOTEST;003504;05909990853274;J06BA
INTRATECT;BIOTEST;003512;05909991071806;J06BA
GENTAMICIN TZF;POLFA TARCHOMIN;003599;05909990339112;J01GB
ESSETIL COMPLEX;NORD FARM;003954;05907559239101;A05BA
INSULINUM LENTE CHO-S;POLFA TARCHOMIN;004394;05909990188314;A10AE
KALIUM GLUCONICUM;NYCOMED PHARMA, £YSZKOWICE;004597;05909990251513;A12BA
INTRACTUM HYPERICI;PHYTOPHARM KL KA;004439;05909990047017;A05AX
ISO-MACK RETARD 20;MACK;004477;05909990181414;C01DA
JAPANISCHES HEILPFLANZENOEL KNUFINKE;DIVAPHARMA;004558;05909990073214;R02AA
KENALOG;BRISTOL-MYERS SQUIBB;004647;05012712000488;H02AB
CLOPIZAM;ACCORD HEALTHCARE;005086;05909991327583;N05AH
LI∂∆ BRZOZY;LABOFARM;005225;05909990618675;C03BX
LEKOBAZA LUX PHARMA COSMETIC;FAGRON;005059;05909990854240;D02AX
LEKOBAZA LUX PHARMA COSMETIC;FAGRON;005060;05909990854271;D02AX
MA∂∆ NA ODCISKI;MAGGIE;005573;05909990297511;D11AF
MEDAZEPAM;POLFA TARCHOMIN;005626;05909990136018;N05BA
LI∂∆ PODBIA£U;FLOS;005280;05909994309326;R05CA
LI∂∆ POKRZYWY;FLOS;005297;05909990219520;C03BX
SZA£WIA PHYTOPHARM;PHYTOPHARM KL KA;005319;05909990052394;A01AD
LATICORT 0,1%;PHARMASWISS;005031;05909990300914;D07AA
SUMETOP;AFLOFARM;005067;05909991315146;C07AB
LEUKERAN;DELFARMA/GLAXOSMITHKLINE;005107;05909997205441;L01AA
MEXITIL;BOEHRINGER INGELHEIM;005790;05012816053458;C01BB
MYDOCALM FORTE;FORFARM/GEDEON RICHTER;006010;05909997070445;M03BX
NEFRECIL;LABOR;006236;05909990207312;G04BX
LIVIAL;MERCK SHARP & DOHME;005327;05909990158010;G03CX
MEGACE;BRISTOL-MYERS SQUIBB;005635;05909990232116;L02AB
MELISANA KLOSTERFRAU PLUS;KLOSTERFRAU;005658;05909991364823;N05CX
NIQUITIN PRZEZROCZYSTY;DELFARMA/OMEGA PHARMA;006349;05909991209391;N07BA
OFTAN TIMOLOL;SANTEN;006554;05909990185054;S01ED
PENTAGLOBIN;BIOTEST;007032;05909990066742;J06BA
SOFTACORT;THEA;004194;05909991345730;S01BA
IMIPRAMIN;POLPHARMA;004270;05909990044214;N06AA
ISOPTO-TEARS;ALCON;004542;05909990187010;S01XA
JODID 100;MERCK;004564;05909990076727;H03CA
KYTTA-SALBE F;MERCK;004963;05909991087913;M02AX
LAKCID;POLPHARMA;004988;05909990322817;A07FA
INJ. MAGNESII SULFURICI 20% POLPHARMA;POLPHARMA;005477;05909990044511;V03AB
MAJAMIL;POLPHARMA;005497;05909990033423;M01AB
MENTOL-ØEL;KATO;005682;05909990299034;M02AX
MELISANA KLOSTERFRAU PLUS;KLOSTERFRAU;005659;05909991364854;N05CX
MITOMYCIN ACCORD;ACCORD HEALTHCARE;005896;05909991273996;L01DC
MONOBENZONE VIS;VIS;005920;05909990186211;D11AX
LINOMAG;ZIO£OLEK;005168;05909990209521;D02AC
LINOMAG;ZIO£OLEK;005170;05909990209439;D02AC
LITHIUM CARBONICUM GSK;GLAXOSMITHKLINE, POZNA—;005324;05909990148714;N05AN
METHOCARBAMOL ESPEFA;ESPEFA;005722;05909990129218;M03BA
METOCARD;POLPHARMA;005755;05909990034413;C07AB
METRONIDAZOL SOLUTIO ISOTONICA;POLPHARMA;005770;05909990160419;J01XD
METRONIDAZOL POLPHARMA;POLPHARMA;005778;05909990160310;G01AF
MELFOENICULI;EKO-LEK;005876;05909990180516;A03AX
MELALTHAEAE D;EKO-LEK;005881;05909990180318;R05CA
MULTIBIONTA PLUS MINERAL;MERCK;005981;05909990259410;A11AA
MA∂∆ KAMFOROWA AFLOFARM;AFLOFARM;005562;05909994314511;M02AX
LOCACID;DELFARMA/PIERRE FABRE;005584;05909997196473;D10AD
MA∂∆ ICHTIOLOWA AFLOFARM;AFLOFARM;005601;05909994391116;D08AX
METIZOL;PHARMASWISS;005754;05909990231911;H03BB
METRONIDAZOL GSK;GLAXOSMITHKLINE, POZNA—;005767;05909990078110;P01AB
MISTABRON;GLAXOSMITHKLINE, POZNA—;005888;05909990143115;R05CB
MULTISAL;TEVA KUTNO;005992;05909990020317;A12CX
MULTIVITAMINUM;TEVA KUTNO;005999;05909990126514;A11BA
NAPROXEN 500;GLAXOSMITHKLINE, POZNA—;006080;05909990143313;M01AE
NAPROXEN;EMO-FARM;006087;05909991000110;M02AA
SODU WODOROW GLAN;AFLOFARM;006207;05909990013548;D04AX
NUTRAMIGEN;TEVA KUTNO;006514;05909990128716;V06DF
BIVACYN;LEK;001344;05909990087518;D06AX
CARDIOL C;HERBAPOL WROC£AW;001616;05909990005215;C01AX
CIMETIDINE JELFA;JELFA;001838;05909990059119;A02BA
DOXAZOSIN AUROVITAS;AUROVITAS;002088;05909991305314;C02CA
CUPRENIL;TEVA;002124;05909990126224;M01CC
DIPHERGAN;JELFA;002532;05909990105014;R06AD
ALDACTONE;DELFARMA/RIEMSER;000291;05909997231822;C03DA
AMINOPHYLLINUM RETARD;LEK;000442;05909990174218;R03DA
AMINOPLASMAL HEPA 10%;BRAUN;000445;05909990308217;B05BA
AMINOPLASMAL B. BRAUN 10%;BRAUN;000447;05909991203641;B05BA
LIPIDEM;BRAUN;000450;05909991204501;B05BA
API PREGNA;APIPOL-FARMA;000699;05903780047010;A13A
ARNICA OINTMENT;ALPINE HERBS;000850;05909990068517;M02AX
RIXUBIS;BAXALTA INNOVATIONS;001087;05909991210144;B02BD
BESTPIRIN;TEVA;001181;05909990741625;N02BA
BEZAMIDIN;TEVA KRAK”W;001217;05909990113620;C10AB
BLEOCIN;NIPPON KAYAKU;001364;05909990347520;L01DC
BOLDALOIN;HERBAPOL WROC£AW;001376;05909990006618;A03AX
CALCIUM PANTOTHENICUM;JELFA;001536;05909990107414;A11HA
CHI—SKI OLEJEK;BIO-DIAET;001736;04104610006172;R02AA
CHOLAMID;POLFA PABIANICE;001799;05909990615575;A05AB
CHOLESTIL;POLFA PABIANICE;001813;05909990665297;A05AX
CONVULEX;G.L. PHARMA;002052;05909990023813;N03AG
CYNAREX;HERBAPOL WROC£AW;002161;05909990008513;A05AX
CYTARABINE KABI;FRESENIUS KABI;002163;05909991028091;L01BC
CISPLATIN TEVA;TEVA;007220;05909990722648;L01XA
CISPLATIN KABI;FRESENIUS KABI;007227;05909991199999;L01XA
POLCORTOLON 40;JELFA;007319;05909990105915;H02AB
POLSTIGMINUM;TEVA KRAK”W;007411;05909990115112;N07AA
POSTERISAN;KADE;007433;05909990140534;C05AX
PROCAINAMIDUM;POLFA PABIANICE;007516;05909990232710;C01BA
PROFENID PROLONGATUM;TEVA KRAK”W;007533;05909990115617;M01AE
PROPOLIS PLUS;APIPOL-FARMA;007575;05903780001005;R02AX
FENTANYL WZF;POLFA WARSZAWA;003186;05909990103935;N02AB
FLUORO-ØEL;FARMAPOL;003347;05909990079216;A01AA
FRAXIPARINE;POLFA WARSZAWA;003419;05909990055425;B01AB
PULPOMIXINE;SEPTODONT;007694;05909990079315;A01AC
RAUPASIL;POLFA PABIANICE;007810;05909990133413;C02AA
RHEUMANOL;POLFA PABIANICE;007934;05909990163014;M01BX
GENTAMYCIN;ANTIBIOTIC;003618;05909990264315;S01AA
GLUCOBAY 100;BAYER;003678;05909990285525;A10BF
HALIDOR;EGIS;003872;05909990156610;C04AX
SALTORAL;TEVA KRAK”W;008187;05909990115723;A07CA
SCOPOLAN;HERBAPOL WROC£AW;008275;05909990336319;A03BB
SIRUPUS PINI COMPOSITUS;HERBAPOL WROC£AW;008444;05909990058013;R05FB
SYROP TYMIANKOWY Z£OØONY;HERBAPOL WROC£AW;008449;05909994369535;R05CA
SYROP TYMIANKOWY Z£OØONY;HERBAPOL WROC£AW;008450;05909994369511;R05CA
PARACETAMOL AUROVITAS;AUROVITAS;008491;05909991360603;N02BE
MEDUNASAL-HEPARIN 500 I.U.;MEDUNA;003931;04260012940053;B01AB
HOMEODOSE 3;BOIRON;004107;05909996379419;V03AX
HIZENTRA;CSL BEHRING;004272;05909990869664;J06BA
ADRENALINA WZF 0,1%;POLFA WARSZAWA;004325;05909990182510;C01CA
ASPARAGINIAN MAGNOKAL;TEVA;008639;05909990340712;A12CX
STERINOL;POLFA PABIANICE;008672;05909991301521;D08AJ
SINTROM;DELFARMA/MERUS LABS LUXCO;000054;05909997217758;B01AA
ADDIPHOS;FRESENIUS KABI;000163;05909990271719;B05BB
AMBROSOL TEVA;TEVA;000397;05909990345410;R05CB
PARACETAMOL TEVA;TEVA;000425;05909990893027;N02BE
KLIMONORM;BAYER;004705;05909990059713;G03FB
LOMUSTINUM;INSTYTUT FARMACEUTYCZNY;005353;05909990362219;L01AD
LONITEN;PHARMACIA;005371;05909990146727;C02DC
AMINOPHYLLINUM;TEVA KRAK”W;000433;05909990113415;R03DA
AMINOPLASMAL 10% E;BRAUN;000444;05909990247516;B05BA
AMINOPLASMAL B. BRAUN 10%;BRAUN;000449;05909991203658;B05BA
CHOLESTIL MAX;ADAMED;005667;05909991292867;A05AX
